"ZIP
code [1]",Size of adjusted gross income,,,,,
10464,"$50,000 under $75,000",,,,,
10464,"$75,000 under $100,000",,,,,
10464,"$100,000 under $200,000",,,,,
10464,"$200,000 or more",,,,,
,,,,,,
10465,,,,,,
10465,"$1 under $25,000",,,,,
10465,"$25,000 under $50,000",,,,,
10465,"$50,000 under $75,000",,,,,
10465,"$75,000 under $100,000",,,,,
10465,"$100,000 under $200,000",,,,,
10465,"$200,000 or more",,,,,
,,,,,,
10466,,,,,,
10466,"$1 under $25,000",,,,,
10466,"$25,000 under $50,000",,,,,
10466,"$50,000 under $75,000",,,,,
10466,"$75,000 under $100,000",,,,,
10466,"$100,000 under $200,000",,,,,
10466,"$200,000 or more",,,,,
,,,,,,
10467,,,,,,
10467,"$1 under $25,000",,,,,
10467,"$25,000 under $50,000",,,,,
10467,"$50,000 under $75,000",,,,,
10467,"$75,000 under $100,000",,,,,
10467,"$100,000 under $200,000",,,,,
10467,"$200,000 or more",,,,,
,,,,,,
10468,,,,,,
10468,"$1 under $25,000",,,,,
10468,"$25,000 under $50,000",,,,,
10468,"$50,000 under $75,000",,,,,
10468,"$75,000 under $100,000",,,,,
10468,"$100,000 under $200,000",,,,,
10468,"$200,000 or more",,,,,
,,,,,,
10469,,,,,,
10469,"$1 under $25,000",,,,,
10469,"$25,000 under $50,000",,,,,
10469,"$50,000 under $75,000",,,,,
10469,"$75,000 under $100,000",,,,,
10469,"$100,000 under $200,000",,,,,
10469,"$200,000 or more",,,,,
,,,,,,
10470,,,,,,
10470,"$1 under $25,000",,,,,
10470,"$25,000 under $50,000",,,,,
10470,"$50,000 under $75,000",,,,,
10470,"$75,000 under $100,000",,,,,
10470,"$100,000 under $200,000",,,,,
10470,"$200,000 or more",,,,,
,,,,,,
10471,,,,,,
10471,"$1 under $25,000",,,,,
10471,"$25,000 under $50,000",,,,,
10471,"$50,000 under $75,000",,,,,
10471,"$75,000 under $100,000",,,,,
10471,"$100,000 under $200,000",,,,,
10471,"$200,000 or more",,,,,
,,,,,,
10472,,,,,,
10472,"$1 under $25,000",,,,,
10472,"$25,000 under $50,000",,,,,
10472,"$50,000 under $75,000",,,,,
10472,"$75,000 under $100,000",,,,,
10472,"$100,000 under $200,000",,,,,
10472,"$200,000 or more",,,,,
,,,,,,
10473,,,,,,
10473,"$1 under $25,000",,,,,
10473,"$25,000 under $50,000",,,,,
10473,"$50,000 under $75,000",,,,,
10473,"$75,000 under $100,000",,,,,
10473,"$100,000 under $200,000",,,,,
10473,"$200,000 or more",,,,,
,,,,,,
10474,,,,,,
10474,"$1 under $25,000",,,,,
10474,"$25,000 under $50,000",,,,,
10474,"$50,000 under $75,000",,,,,
10474,"$75,000 under $100,000",,,,,
10474,"$100,000 under $200,000",,,,,
10474,"$200,000 or more",,,,,
,,,,,,
10475,,,,,,
10475,"$1 under $25,000",,,,,
10475,"$25,000 under $50,000",,,,,
10475,"$50,000 under $75,000",,,,,
10475,"$75,000 under $100,000",,,,,
10475,"$100,000 under $200,000",,,,,
10475,"$200,000 or more",,,,,
,,,,,,
10501,,,,,,
10501,"$1 under $25,000",,,,,
10501,"$25,000 under $50,000",,,,,
10501,"$50,000 under $75,000",,,,,
10501,"$75,000 under $100,000",,,,,
10501,"$100,000 under $200,000",,,,,
10501,"$200,000 or more",,,,,
,,,,,,
10502,,,,,,
10502,"$1 under $25,000",,,,,
10502,"$25,000 under $50,000",,,,,
10502,"$50,000 under $75,000",,,,,
10502,"$75,000 under $100,000",,,,,
10502,"$100,000 under $200,000",,,,,
10502,"$200,000 or more",,,,,
,,,,,,
10504,,,,,,
10504,"$1 under $25,000",,,,,
10504,"$25,000 under $50,000",,,,,
10504,"$50,000 under $75,000",,,,,
10504,"$75,000 under $100,000",,,,,
10504,"$100,000 under $200,000",,,,,
