Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
1011 Burke Ave,"$188,700 ",Bronx,NY,40.871532,-73.858025,"1011 Burke Ave, Bronx, NY 10469, USA",1011,Burke Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,3803,
1012 Kelly St,"$419,000 ",Bronx,NY,40.823564,-73.895549,"1012 Kelly St, Bronx, NY 10459, USA",1012,Kelly Street,West Bronx,Bronx,Bronx County,New York,United States,10459,3235,
1013 E 228th St,"$459,000 ",Bronx,NY,40.887123,-73.849763,"1013 E 228th St, Bronx, NY 10466, USA",1013,East 228th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,4819,
1013 Pierce Ave,"$549,000 ",Bronx,NY,40.845284,-73.853469,"1013 Pierce Ave, Bronx, NY 10462, USA",1013,Pierce Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,3165,
1015 164th #1A,"$118,000 ",Bronx,NY,40.823234,-73.898937,"869-875 E 164th St, Bronx, NY 10459, USA",869-875,East 164th Street,West Bronx,Bronx,Bronx County,New York,United States,10459,,
1015 164th #4C,"$145,000 ",Bronx,NY,40.823234,-73.898937,"869-875 E 164th St, Bronx, NY 10459, USA",869-875,East 164th Street,West Bronx,Bronx,Bronx County,New York,United States,10459,,
1015 Anderson Ave #1D,"$89,000 ",Bronx,NY,40.832562,-73.927277,"1015 Anderson Ave, Bronx, NY 10452, USA",1015,Anderson Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
1015 Summit Ave #1A,"$118,000 ",Bronx,NY,40.833759,-73.930166,"1015 Summit Ave, Bronx, NY 10452, USA",1015,Summit Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
1015 Summit Ave #3B,"$69,999 ",Bronx,NY,40.833759,-73.930166,"1015 Summit Ave, Bronx, NY 10452, USA",1015,Summit Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
1015 Summit Ave #3F,"$145,000 ",Bronx,NY,40.833759,-73.930166,"1015 Summit Ave, Bronx, NY 10452, USA",1015,Summit Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
1016 E 218th St,"$349,000 ",Bronx,NY,40.879835,-73.854322,"1016 E 218th St, Bronx, NY 10469, USA",1016,East 218th Street,East Bronx,Bronx,Bronx County,New York,United States,10469,1211,
1018 Neill Ave,"$689,000 ",Bronx,NY,40.852071,-73.85851,"1018 Neill Ave, Bronx, NY 10462, USA",1018,Neill Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,3168,
1019 E 228th St,"$400,000 ",Bronx,NY,40.887064,-73.849575,"1019 E 228th St, Bronx, NY 10466, USA",1019,East 228th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,4819,
1020 Grand Concourse #12C,"$595,000 ",Bronx,NY,40.830339,-73.920204,"1020 Grand Concourse, Bronx, NY 10451, USA",1020,Grand Concourse,West Bronx,Bronx,Bronx County,New York,United States,10451,,
1020 Grand Concourse #14FF,"$115,000 ",Bronx,NY,40.830339,-73.920204,"1020 Grand Concourse, Bronx, NY 10451, USA",1020,Grand Concourse,West Bronx,Bronx,Bronx County,New York,United States,10451,,
