"","zpid","bathrooms","bedrooms","sqft","st","city","state","lat","long","valuation","lowval","highval","nb","nbid"
"854","2104017409","1.0","0",NA,"200 Clinton St APT 2F","Brooklyn","NY","40.69064","-73.99446","928404","816996","1030528","Brooklyn Heights","403122"
"855","2105013493","1.0","1",NA,"200 Clinton St APT 1D","Brooklyn","NY","40.69067","-73.994453","918243","835601","1000885","Brooklyn Heights","403122"
"856","2105901866","1.0","1","750","200 Clinton St APT 3L","Brooklyn","NY","40.690639","-73.994461","795975","716378","883532","Brooklyn Heights","403122"
"857","2105908922","1.0","1",NA,"200 Clinton St STE A","Brooklyn","NY","40.69064","-73.99446","844931","760438","920975","Brooklyn Heights","403122"
"858","2105911829","1.0","1","750","200 Clinton St APT 3I","Brooklyn","NY","40.69067","-73.994453","837871","754084","896522","Brooklyn Heights","403122"
"859","2106425003",NA,NA,NA,"200 Clinton St APT 6M","Brooklyn","NY","40.690639","-73.994461","934082","840674","1018149","Brooklyn Heights","403122"
"860","2108353621",NA,NA,NA,"200 Clinton St APT 3J","Brooklyn","NY","40.690639","-73.994461","934082","840674","1018149","Brooklyn Heights","403122"
"861","2110259653",NA,NA,NA,"200 Clinton St APT 3N","Brooklyn","NY","40.690639","-73.994461","934082","840674","1018149","Brooklyn Heights","403122"
"862","2110605510","1.0","1",NA,"200 Clinton St APT 3H","Brooklyn","NY","40.714168","-73.987106","","","","Brooklyn Heights","403122"
"863","2110791893","1.0","0","375","200 Clinton St APT 2A","Brooklyn","NY","40.690671","-73.994459","","","","Brooklyn Heights","403122"
"864","2111364197","1.0","0","375","200 Clinton St APT 3A","Brooklyn","NY","40.690671","-73.994459","680521","524001","755378","Brooklyn Heights","403122"
"865","2112116594",NA,NA,NA,"200 Clinton St APT 6E","Brooklyn","NY","40.690641","-73.994458","","","","Brooklyn Heights","403122"
"866","2112464543","1.0","1",NA,"200 Clinton St APT 1F","Brooklyn","NY","40.69064","-73.99446","","","","Brooklyn Heights","403122"
"867","2114053291","0.5","0","400","200 Clinton St APT 5A","Brooklyn","NY","40.69064","-73.99446","630105","560793","680513","Brooklyn Heights","403122"
"868","2126890962","1.0","1","750","200 Clinton St APT 5B","Brooklyn","NY","40.690639","-73.994461","909198","863738","954658","Brooklyn Heights","403122"
"869","62646267","1.0","1","9025","141 Atlantic Ave","Brooklyn","NY","40.690749","-73.99528","","","","Brooklyn Heights","403122"
"870","79717882",NA,NA,"16420","151 Atlantic Ave","Brooklyn","NY","40.690477","-73.995061","5527808","5196140","5859476","Brooklyn Heights","403122"
"871","89072784",NA,NA,"8546","118 State St","Brooklyn","NY","40.691066","-73.995536","","","","Brooklyn Heights","403122"
"872","112507748",NA,NA,"3915","149 Atlantic Ave","Brooklyn","NY","40.690662","-73.995071","","","","Brooklyn Heights","403122"
"873","2140481412","4.0","3","5000","149 Atlantic Ave","Brooklyn","NY","40.690554","-73.994968","2094631","1989899","2199363","Brooklyn Heights","403122"
"874","68312778","1.0","1","727","125 Court St","Brooklyn","NY","40.68994","-73.992206","","","","Boerum Hill","272994"
"875","2110447152","2.0","2","1000","125 Court St","Brooklyn","NY","40.6898","-73.9917","1737781","1546625","1842048","Boerum Hill","272994"
"876","94719801","1.0","1","785","225 Pacific St","Brooklyn","NY","40.688793","-73.991535","","","","Boerum Hill","272994"
"877","120729761",NA,NA,"54176","233 Pacific St","Brooklyn","NY","40.688689","-73.991277","","","","Boerum Hill","272994"
"878","2102515399","3.0","5","2777","210 Pacific St","Brooklyn","NY","40.6889","-73.9923","3232676","2004259","4913668","Boerum Hill","272994"
"879","29999934","2.0","3","1796","120 Boerum Pl APT 2C","Brooklyn","NY","40.687829","-73.991712","296230","254758","337702","Boerum Hill","272994"
"880","30568161",NA,NA,"1667","120 Boerum Pl APT 1A","Brooklyn","NY","40.687869","-73.991645","1642143","1510772","1757093","Boerum Hill","272994"
"881","30568162",NA,NA,"1981","120 Boerum Pl APT 1B","Brooklyn","NY","40.687869","-73.991645","2074743","1784279","2240722","Boerum Hill","272994"
"882","30568163",NA,NA,"1998","120 Boerum Pl APT 1C","Brooklyn","NY","40.687869","-73.991645","2105766","1832016","2295285","Boerum Hill","272994"
"883","30568164",NA,NA,"2171","120 Boerum Pl APT 1E","Brooklyn","NY","40.687869","-73.991645","2425145","2255385","2667659","Boerum Hill","272994"
"884","30568165",NA,NA,"1047","120 Boerum Pl APT 1F","Brooklyn","NY","40.687869","-73.991645","1040829","957563","1144912","Boerum Hill","272994"
"885","30568166","1.0","1","1080","120 Boerum Pl APT 1G","Brooklyn","NY","40.687854","-73.992073","1026664","954798","1098530","Boerum Hill","272994"
"886","30568167",NA,NA,"852","120 Boerum Pl APT 1H","Brooklyn","NY","40.687869","-73.991645","906184","815566","960555","Boerum Hill","272994"
"887","30568168",NA,NA,"1327","120 Boerum Pl APT 1I","Brooklyn","NY","40.687869","-73.991645","1288861","1185752","1353304","Boerum Hill","272994"
"888","30568169",NA,NA,"960","120 Boerum Pl APT 1J","Brooklyn","NY","40.687869","-73.991645","1035874","953004","1108385","Boerum Hill","272994"
"889","30568170","1.0","1","900","120 Boerum Pl APT 1K","Brooklyn","NY","40.687869","-73.991645","","","","Boerum Hill","272994"
"890","30568171",NA,NA,"1080","120 Boerum Pl APT 1L","Brooklyn","NY","40.687869","-73.991645","1074660","977941","1182126","Boerum Hill","272994"
