CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
559643854,01/01/2015,18:00:00,01/01/2015,18:05:00,01/01/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,,,1008315,190727,40.690153828,-73.913224962,"(40.690153828, -73.913224962)"
818664821,01/01/2015,17:58:00,01/01/2015,18:10:00,01/01/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,INSIDE,DEPARTMENT STORE,,,1020829,206894,40.73448548,-73.868012689,"(40.73448548, -73.868012689)"
250048975,01/01/2015,17:53:00,01/01/2015,18:09:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,998260,241419,40.829311978,-73.949376854,"(40.829311978, -73.949376854)"
335892269,01/01/2015,17:45:00,01/01/2015,17:50:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,995294,176595,40.651390471,-73.960200798,"(40.651390471, -73.960200798)"
122623585,01/01/2015,17:43:00,01/01/2015,17:44:00,01/01/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,GROCERY/BODEGA,,,1000846,244047,40.836520601,-73.940025943,"(40.836520601, -73.940025943)"
293515014,01/01/2015,17:40:00,,,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,INSIDE,RESIDENCE - APT. HOUSE,,,1014885,242750,40.832923173,-73.889297019,"(40.832923173, -73.889297019)"
572048979,01/01/2015,17:40:00,01/01/2015,18:02:00,01/01/2015,109,GRAND LARCENY,406,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,,STREET,,,990220,215825,40.759072458,-73.978451832,"(40.759072458, -73.978451832)"
137058553,01/01/2015,17:40:00,01/01/2015,17:45:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,CHAIN STORE,,,989398,148968,40.575565439,-73.981470009,"(40.575565439, -73.981470009)"
450462189,01/01/2015,17:30:00,01/02/2015,05:08:00,01/01/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1022678,243888,40.836016182,-73.8611293,"(40.836016182, -73.8611293)"
675795442,01/01/2015,17:30:00,01/01/2015,17:45:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE - APT. HOUSE,,,996098,154948,40.591972932,-73.957341311,"(40.591972932, -73.957341311)"
